Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Нестайко,Назар,Теодорович,чоловік,1988-02-10,Сантехнік,село Умань,"вулиця Отамана Чепіги, буд. 7, Гірник , 26631",+380 35 649 23 55,danylo05@example.org
Романець,Стефан,Гаврилович,чоловік,2006-01-14,Редактор,село Середина-Буда,"проспект Харківська, буд. 53, Новоселиця, 99025",+380 57 894-33-67,gbarannyk@example.net
Вишиваний,Богуслав,Теодорович,чоловік,1995-03-01,Кінорежисер,місто Бердянськ,"проспект Левітана, буд. 79 кв. 26, Теплодар, 62804",792-08-48,demian71@example.org
Артюх,Мирон,Аркадійович,чоловік,1991-07-18,Кухар,місто Корюківка,"вулиця Приморська, буд. 793, Деражня, 36102",013-88-67,liudmyladatsiuk@example.org
Онищенко,Леон,Омелянович,чоловік,1990-04-17,Пілот,селище Подільськ,"провулок Оранжерейний, буд. 6, Кагарлик, 24784",633-34-44,bievdokymenko@example.net
Данильчук,Мирослав,Ярославович,чоловік,2008-03-19,Слідчий,село Тальне,"набережна Просвіти, буд. 285, Жашків, 04713",+380 (35) 976-92-97,karmaliukolha@example.org
Малишко,Адам,Юхимович,чоловік,1972-05-14,Круп'є,село Сторожинець,"проспект Колонтаївська, буд. 946 кв. 255, Торецьк, 44155",057-61-59,bohodar68@example.org
Вишняк,Пилип,Остапович,чоловік,1972-10-17,Євнух,селище Бобринець,"набережна Троїцька, буд. 8, Дубно, 11011",008 827-30-20,panas09@example.net
Фоменко,Феофан,Ярославович,чоловік,1983-10-05,Дизайнер,хутір Тернопіль,"площа Глазунова, буд. 978, Лисичанськ, 23024",+380 (18) 665-67-86,andriievychmilena@example.org
Козак,Леопольд,Захарович,чоловік,1998-05-07,Ріелтор,місто Гнівань,"узвіз Тираспольське, буд. 3 кв. 2, Дніпро , 67840",+380 (66) 293-16-08,prykhodkoaaron@example.net
Абраменко,Зорян,Назарович,чоловік,2005-09-16,Медик,місто Радивилів,"проспект Учительський, буд. 2, Сарни, 35171",+380 38 445-99-09,veniiamyn32@example.org
Івасюк,Святослав,Богуславович,чоловік,1986-03-02,Ґрунтознавець,хутір Березне,"шосе Сталепрокатна, буд. 2 кв. 37, Алушта, 06047",654-44-81,pandroshchuk@example.com
Дубенко,Юхим,Назарович,чоловік,1961-07-19,Бібліограф,місто Рожище,"площа Глазунова 2-й, буд. 419, Ходорів, 10471",+380 (02) 932-49-78,omakohon@example.org
Баран,Федір,Степанович,чоловік,1941-04-29,Маркетолог,хутір Виноградів,"шосе Новиков міст, буд. 02, Кадіївка, 84301",033 835-47-82,liza66@example.com
Фесенко,Єфрем,Костянтинович,чоловік,1939-04-15,Петрограф,селище Решетилівка,"шосе Клинова, буд. 8 кв. 9, Гребінка, 36631",+380 56 596-71-92,hrechkoiosyp@example.com
Дуплій,Леон,Бориславович,чоловік,1969-03-18,Історик,хутір Устилуг,"проспект Аеропортівський 2-й, буд. 154 кв. 1, Нове Давидково, 53319",+380 46 854-43-16,xkonoplia@example.net
Тимчук,Амвросій,Теодорович,чоловік,2000-06-29,Модельєр,місто Макіївка,"узвіз Лінія 27-ма, буд. 02, Кальміуське, 30690",087 178 99 58,jiemelianenko@example.org
Ляшко,Олег,Арсенович,чоловік,1958-04-13,Електрослюсар,селище Щастя ,"сквер Чубаївська, буд. 0, Бахмут, 63726",398-72-18,solomiiaiaremenko@example.com
Литвиненко,Данило,Симонович,чоловік,2002-09-17,Ґрунтознавець,місто Нововолинськ,"провулок Перший Кришталевий, буд. 64 кв. 66, Докучаєвськ, 92955",+380 17 627 16 31,iurchukoryna@example.org
Батюк,Артем,Євгенійович,чоловік,1990-06-30,Євнух,місто Бучач,"провулок Лінія 25-та, буд. 736 кв. 99, Батурин, 74049",620-10-96,vladyslav31@example.com
Малик,Пармен,Алевтинович,чоловік,1980-12-12,Льотчик,селище Кипуче,"узвіз Залізнична, буд. 1, Сторожинець, 44556",176 49 80,lsirchenko@example.net
Їжакевич,Володимир,Станіславович,чоловік,1968-06-11,Фермер,місто Коростень,"вулиця Овідіопольська дуга, буд. 1 кв. 65, Святогірськ, 58709",949 03 08,mkolodub@example.org
Михайлюк,Мирон,Орестович,чоловік,1968-11-10,Археолог,місто Сарни,"набережна Буніна, буд. 032, Козятин, 89445",424-95-16,artemenkohlib@example.net
Масоха,Трохим,Ярославович,чоловік,2005-09-01,Продюсер,селище Оріхів,"узвіз Коцюбинського, буд. 13, Лубни, 29794",+380 (54) 376-45-21,eieresko@example.com
Пʼятаченко,Роман,Богодарович,чоловік,1939-02-24,Кухар,село Рогатин,"вулиця Студентський 1-й, буд. 3, Дебальцеве, 19104",999 55 49,ihnat03@example.org
Матвієнко,Віктор,Болеславович,чоловік,1969-03-19,Реабілітолог,місто Заводське,"набережна Матроський узвіз, буд. 808, Кіцмань, 19758",+380 13 716-60-16,emiliiaprytula@example.org
Лаба,Владислав,Алевтинович,чоловік,1997-12-16,Електрослюсар,хутір Здолбунів,"площа Лінія 43-тя, буд. 7 кв. 5, Хирів, 13313",+380 09 901-08-30,liashkoihor@example.org
Ґалаґан,Олександр,Тарасович,чоловік,1996-05-28,Гірничий інженер,хутір Нововолинськ,"площа Дев’ята, буд. 2 кв. 5, Іршава, 06463",079 691 50 62,zinkevychliubov@example.net
Байда,Богуслав,Павлович,чоловік,1941-09-19,Педагог,місто Виноградів,"парк Аеропортівська, буд. 2 кв. 72, Яготин, 51397",+380 32 559-31-58,ievtushokerika@example.net
Запорожець,Марко,Стефанович,чоловік,1946-02-02,Електромонтажник,хутір Бровари,"площа Серединський, буд. 126 кв. 153, Тараща, 90319",027 414-15-39,ruslan13@example.net
Єщенко,Ростислав,Євгенійович,чоловік,2003-09-27,Літературознавець,село Білопілля,"набережна Естафетна, буд. 37, Болград, 62216",030 832 07 27,romanchukandrii@example.net
Фесенко,Леонід,Олегович,чоловік,1976-11-05,Няня,хутір Тисмениця,"парк Жевахова, буд. 042 кв. 16, Сватове, 87413",649 75 76,rdashenko@example.com
Єрошенко,Пантелеймон,Михайлович,чоловік,1998-04-03,Скульптор,місто Буськ,"вулиця Івана Вазова, буд. 96 кв. 0, Білопілля, 34501",+380 (23) 168-71-84,evivcharenko@example.org
Єременко,Мирослав,Богуславович,чоловік,1997-08-19,Астроном,місто Канів,"провулок Каспійський, буд. 69 кв. 3, Токмак, 44413",306-19-91,khoma38@example.org
Скоробогатько,Пармен,Устимович,чоловік,1968-02-05,Гірник,місто Ватутіне,"проспект Нескучна, буд. 79, Сквира, 91474",+380 20 887-09-43,xfartushniak@example.com
Павленко,Гаврило,Гаврилович,чоловік,1985-07-16,Драматург,хутір Житомир,"площа Деревообробний 5-й, буд. 07, Рава-Руська, 79464",959-58-42,tkachenkoomelian@example.com
Зайченко,Остап,Степанович,чоловік,1984-11-18,Фермер,хутір Старокостянтинів,"проспект Миколи Бажана, буд. 880 кв. 85, Пирятин, 30637",+380 10 940-95-11,nchumak@example.org
Зарудний,Ярослав,Вадимович,чоловік,1998-11-18,Шериф,село Павлоград,"площа Тінистий, буд. 898 кв. 08, Городенка, 20697",+380 (71) 661-64-67,lkonoplia@example.com
Ящук,Тимофій,Августинович,чоловік,2008-09-02,Провізор,село Гола Пристань,"сквер Ризька, буд. 91 кв. 94, Мена , 35565",974-13-59,borys64@example.com
Дергач,Григорій,Демидович,чоловік,1965-10-05,Музикознавець,селище Сєвєродонецьк,"парк Донцова Дмитра, буд. 40 кв. 88, Голубівка, 56025",343 94 89,eshamrai@example.net
Шеремет,Олекса,Артемович,чоловік,1981-06-27,Хореограф,селище Старий Самбір,"проспект Ліверпульський, буд. 2 кв. 653, Заводське, 97688",+380 (65) 487-83-37,aronetssymon@example.org
Гук,Ігнат,Васильович,чоловік,1987-12-09,Кінорежисер,місто Новгород-Сіверський,"вулиця Зернова, буд. 6 кв. 96, Золотоноша, 34370",+380 50 087 54 92,ievhen00@example.com
Ткач,Леопольд,Єфремович,чоловік,1992-06-03,Медик,село Бобровиця,"парк Кривобалківська, буд. 030, Чугуїв, 76267",416-58-01,zskyba@example.com
Їжак,Алевтин,Святославович,чоловік,1979-05-15,Актор,село Вознесенівка,"провулок Спаський, буд. 253 кв. 25, Підгородне, 13833",766-89-59,amvrosii20@example.org
Артеменко,Веніямин,Ростиславович,чоловік,1992-08-17,Ювелір,селище Ананьїв,"провулок Дальницьке, буд. 41, Тячів, 85580",012 911 08 18,stetsaaron@example.net
Данчук,Демʼян,Прохорович,чоловік,1942-01-07,Географ,село Герца,"провулок Цебриківська, буд. 10 кв. 34, Південне , 79605",087 046-47-65,orkhyp23@example.org
Євтушок,Михайло,Валентинович,чоловік,1989-07-27,Менеджер,село Хорол ,"шосе Олексіївська, буд. 715 кв. 18, Золотоноша, 14721",+380 75 388-42-05,volodymyraorobets@example.org
Сімашкевич,Дан,Борисович,чоловік,1965-08-11,Редактор,місто Первомайськ,"сквер Чорноморський 1-й, буд. 673, Чорноморськ, 64031",033 507 82 08,iatsenkosolomon@example.com
Худобʼяк,Назар,Симонович,чоловік,1958-11-21,Футболіст,місто Острог,"провулок Дорбуду, буд. 68, Корсунь-Шевченківський, 14369",+380 59 379-19-17,violettahunko@example.com
Дейсун,Геннадій,Аркадійович,чоловік,1996-09-25,Сантехнік,село Хирів,"сквер Український 1-й, буд. 136 кв. 04, Старий Самбір, 98560",+380 (25) 073-45-64,chekaliukstanislav@example.com
Овчаренко,Артем,Варфоломійович,чоловік,1977-06-24,Кур'єр,село Погребище,"проспект Восьмого березня узвіз, буд. 863, Покров, 11136",283-55-24,varfolomiiiurchyshyn@example.org
Абрагамовський,Олекса,Глібович,чоловік,1964-11-06,Ріелтор,село Герца,"узвіз Чорноморський 13-й, буд. 20, Рожище, 76209",011 334 00 85,mamchuranastasiia@example.com
Назаренко,Пантелеймон,Артемович,чоловік,1951-03-08,Кур'єр,хутір Старий Самбір,"сквер 15-та Суворовська, буд. 69 кв. 5, Новояворівськ, 75574",434-81-66,varfolomiishapoval@example.com
Лавренко,Борислав,Вадимович,чоловік,1970-10-16,Водій,місто Арциз,"проспект Тимірязєва 3-й, буд. 64, Прилуки, 67826",095 797-71-87,voblabohdan@example.org
Чумак,Зиновій,Леонтійович,чоловік,1960-10-02,Золотар,селище Сміла,"шосе Артезіанська, буд. 563 кв. 4, Новий Калинів, 37203",900-24-08,klyment63@example.com
Примаченко,Давид,Ааронович,чоловік,1970-03-11,Мінералог,село Залізне,"шосе Володі Дубініна, буд. 7, Гірник , 37121",+380 (40) 878-04-16,klyment81@example.com
Онуфрієнко,Демид,Альбертович,чоловік,1993-09-22,Нотаріус,хутір Перемишляни,"набережна Балтська дорога, буд. 07 кв. 390, Синельникове, 27707",553 11 01,bohuslavaarkhymovych@example.org
Токар,Альберт,Гордійович,чоловік,1968-10-03,Патологоанатом,селище Мукачево,"набережна Обривиста, буд. 231 кв. 580, Кобеляки, 20530",+380 (01) 076-89-92,heorhii90@example.org
Скорик,Іван,Вадимович,чоловік,1956-06-09,Графік,хутір Зеленодольськ,"проспект Лузанівський 1-й, буд. 94, Мелітополь, 45404",+380 (36) 276-99-76,ftsiutsiura@example.net
Килимник,Остап,Святославович,чоловік,1987-08-05,Вчитель,хутір Білогірськ,"парк 1-ша Лінія Марії Демченко, буд. 593, Тростянець, 69804",535 85 62,ukovpak@example.com
Фоменко,Феофан,Олександрович,чоловік,1962-09-29,Няня,місто Самбір,"шосе Лінія 53-тя, буд. 5, Одеса, 70667",+380 31 299 55 89,makar91@example.net
Каденюк,Семен,Охрімович,чоловік,1955-04-27,Швачка,місто Монастириська,"узвіз Варненська, буд. 315 кв. 207, Кіцмань, 92569",+380 (79) 462-79-69,derhacharkadii@example.com
Височан,Костянтин,Станіславович,чоловік,1983-11-03,Архітектор,хутір Узин,"набережна Десятого квітня, буд. 18, Фастів, 78037",725-47-27,anita26@example.org
Чорновіл,Ігнат,Геннадійович,чоловік,1940-11-15,Льотчик,місто Красноград,"парк Трудовий, буд. 4 кв. 7, Гайсин, 78970",+380 05 111-83-33,ksirko@example.net
Савенко,Григорій,Пилипович,чоловік,1971-11-21,Агроном,місто Долинська,"шосе Офіцерський 1-й, буд. 241, Кропивницький, 98394",747 13 70,vitrukleon@example.org
Ткач,Степан,Богуславович,чоловік,1940-01-08,Каскадер,село Селидове,"узвіз Молодіжна, буд. 358 кв. 1, Хуст, 63301",+380 58 788-19-02,ilienkolarysa@example.com
Штокало,Степан,Прохорович,чоловік,1959-03-29,Візажист,місто Вишневе ,"парк Західний 1-й, буд. 68, Дніпрорудне, 36682",103-86-73,ustym14@example.org
Байрак,Альберт,Азарович,чоловік,2007-04-09,Кінорежисер,місто Пирятин,"провулок Олександра Стурдзи, буд. 31, Калуш, 19460",542-33-33,khoma21@example.com
Гриценко,Назар,Олесьович,чоловік,1982-12-27,Економіст,місто Старокостянтинів,"провулок Серединський, буд. 52 кв. 511, Чоп, 25870",626-78-10,andriievychemiliia@example.org
Вдовенко,Франц,Романович,чоловік,1948-03-01,Живописець,селище Шпола,"проспект Георгія Гамова, буд. 447 кв. 180, Зоринськ, 13576",362 57 39,albina93@example.org
Гавришкевич,Сергій,Ігорович,чоловік,1951-04-09,Музичний редактор,село Старобільськ,"вулиця Одеса-Головна, буд. 850 кв. 1, Балаклія, 66240",072 041-95-95,tsiutsiuramyroslav@example.net
Якименко,Адам,Амвросійович,чоловік,1950-02-27,Дерун,селище Скалат,"узвіз Крайня, буд. 9, Новоград-Волинський, 80181",605-47-48,ihnat29@example.com
Сіробаба,Охрім,Бориславович,чоловік,1944-06-17,Юрист,село Олешки,"площа Олександра Стурдзи, буд. 5, Апостолове, 01527",083 611-28-76,tymchukodarka@example.org
Токар,Віктор,Микитович,чоловік,1978-05-14,Краєзнавець,село Малин,"вулиця Виноградна 1-ша, буд. 68 кв. 208, Куп'янськ, 04379",055 836-87-22,hunkovalerii@example.net
Канівець,Азар,Веніяминович,чоловік,1975-04-02,Етнограф,село Ланівці,"вулиця Мінська, буд. 70 кв. 9, Фастів, 51914",+380 (24) 648-36-27,anastasiia86@example.com
Гоголь-Яновський,Кирило,Опанасович,чоловік,1945-11-02,Лікар,хутір Ватутіне,"вулиця 6-та Суворовська, буд. 086, Щастя , 69721",+380 (25) 250-66-11,ielysaveta26@example.com
Хорішко,Вадим,Едуардович,чоловік,1959-12-02,Євнух,село Чорнобиль,"набережна Заводська, буд. 57 кв. 923, Попасна, 38422",929-73-60,anton86@example.org
Сіробаба,Владислав,Адамович,чоловік,1955-02-12,Реставратор,селище Амвросіївка,"провулок Соляний 3-й, буд. 93, Баранівка, 88678",059 422-41-52,suprunenkoalina@example.org
Дацюк,Болеслав,Пилипович,чоловік,2008-09-04,Акушер,селище Андрушівка,"шосе Скидановська, буд. 99 кв. 09, Бунге , 42255",093 569-64-78,olena05@example.com
Бабій,Амвросій,Антонович,чоловік,2008-01-08,Стоматолог,місто Переяслав,"набережна Ліверпульський, буд. 306, Знам'янка, 49238",679-32-97,borystokar@example.com
Саєнко,Болеслав,Симонович,чоловік,1985-06-19,Геофізик,хутір Мар'їнка,"шосе Лазурний 4-й, буд. 8 кв. 44, Добропілля, 80256",056 330 68 79,dashenkoklavdiia@example.net
Салій,Роман,Симонович,чоловік,2005-07-17,Менеджер,село Здолбунів,"провулок Вузький, буд. 097 кв. 2, Козятин, 34873",+380 00 777-54-16,borysorlyk@example.com
Тригуб,Гліб,Гордійович,чоловік,1963-01-08,Антрополог,селище Перещепине,"площа Грецький, буд. 3, Коломия, 56753",925 97 72,ydubas@example.org
Зарудний,Зиновій,Демидович,чоловік,1943-04-18,Кіноактор,селище Мерефа,"узвіз Новікова 2-га, буд. 57 кв. 90, Родинське, 87398",095 007 30 16,tsybulenkoleopold@example.org
Хомик,Франц,Давидович,чоловік,1969-01-19,Фрілансер,село Підгородне,"парк Середньофонтанська, буд. 53, Тиврів, 88935",090 262-92-56,okseniiadotsenko@example.com
Акименко,Валентин,Трохимович,чоловік,1986-04-10,Клавішник,село Почаїв,"провулок Мала Арнаутська, буд. 9, П'ятихатки, 13528",+380 84 660 39 40,yshvaika@example.org
Єременко,Захар,Соломонович,чоловік,1996-12-13,Агроном,селище Волочиськ,"сквер 1-й Академічний тупик, буд. 88, Харків, 49749",374-25-29,dmedvedenko@example.org
Ємельяненко,Аарон,Варфоломійович,чоловік,1997-06-13,Дантист,селище Новогродівка,"вулиця Тракторна, буд. 9 кв. 17, Новодністровськ, 54469",+380 84 331-58-87,arkadiitelizhenko@example.net
Шило,Антон,Демидович,чоловік,1953-06-28,Архітектор,місто Покров,"провулок Монастирський, буд. 04 кв. 2, Ланівці, 24879",083 959 57 16,borys49@example.com
Захарченко,Федір,Гордійович,чоловік,2008-01-07,Каскадер,селище Глобине,"провулок Миколи Гефта, буд. 703, Ковель, 74273",+380 (70) 837-65-59,tkacholeksa@example.net
Кармалюк,Леопольд,Олександрович,чоловік,1968-04-12,Гірник,селище Нововолинськ,"проспект Озерна, буд. 1 кв. 1, Ковель, 26361",+380 25 273-77-06,klyment42@example.org
Фартушняк,Степан,Юстимович,чоловік,2001-08-21,Гінеколог,селище Березне,"шосе Олександра Вронського, буд. 143 кв. 54, Лебедин, 47640",+380 95 940 16 14,dankopriska@example.com
Штепа,Микита,Валерійович,чоловік,1961-10-07,Сценарист,село Світловодськ,"проспект Путьова, буд. 63 кв. 877, Жидачів, 24753",+380 50 447-75-64,iakivzhalilo@example.org
Ільєнко,Пилип,Борисович,чоловік,1945-02-18,Мірошник,місто Свалява,"парк Рачкова, буд. 210 кв. 0, Мостиська, 51643",023 619-19-01,danna92@example.org
Байрак,Роман,Євгенійович,чоловік,1941-05-17,Електромонтажник,хутір Родинське,"шосе Зоряна, буд. 311 кв. 1, Шепетівка, 01864",777-01-46,azhazhaoleksandr@example.net
Зінчук,Соломон,Алевтинович,чоловік,1947-09-24,Круп'є,хутір Таврійськ,"площа Венгера, буд. 026, Інкерман, 76739",+380 54 891-52-95,edyta94@example.net
Ярош,Святослав,Опанасович,чоловік,1963-09-22,Намотувальник,місто Новий Розділ,"провулок Леваневського тупик, буд. 3 кв. 10, Рогатин, 59088",071 363-80-71,bderehus@example.net
Засядько,Антон,Валентинович,чоловік,1996-04-30,Гірник,хутір Кремінна,"узвіз Софії Перовської, буд. 59 кв. 081, Бахчисарай, 07682",230 14 73,jnehoda@example.net
Колісниченко,Марко,Микитович,чоловік,1976-11-13,Стоматолог,місто Красногорівка,"шосе Наявний 3-й, буд. 28, Семенівка, 55719",+380 82 482-94-01,levko81@example.com
Шинкаренко,Артем,Веніяминович,чоловік,1990-09-21,Бухгалтер,селище Зборів,"шосе Шептицікого, буд. 05, Деражня, 84619",017 945-98-52,iefremhupalo@example.com
Наливайко,Вадим,Володимирович,чоловік,1939-11-12,Математик,село Корсунь-Шевченківський,"проспект Садова, буд. 3, Старобільськ, 02040",779-76-23,alevtynshvachka@example.net
Шеремет,Веніямин,Володимирович,чоловік,1945-03-17,Географ,селище Васильків,"узвіз Локомотивний 3-й, буд. 20, Гайсин, 47319",+380 (88) 113-68-00,zartymovych@example.net
Воблий,Владислав,Григорійович,чоловік,1965-05-23,Соціолог,селище Бунге ,"набережна Виставочна, буд. 39 кв. 2, Кам'янець-Подільський, 63083",693 38 04,zorianzabashta@example.org
Забашта,Станіслав,Віталійович,чоловік,1996-04-09,Менеджер,село Кам'янське,"вулиця Старосінна, буд. 047 кв. 1, Судова Вишня, 98440",+380 83 316 77 95,petrozasenko@example.org
Єресько,Макар,Вікторович,чоловік,1948-05-17,Акушер,місто Буринь,"шосе Лазурний 3-й, буд. 34 кв. 3, Вінниця, 02790",009 611 46 19,ipavlyk@example.org
Василечко,Пармен,Аврелійович,чоловік,1985-12-17,Паблік рилейшнз,селище Федорівка,"провулок Київське, буд. 8, Новоазовськ, 06834",621 72 84,vira59@example.com
Влох,Орест,Августинович,чоловік,1987-11-11,Співак,місто Красилів,"провулок Колективний, буд. 31, Конотоп, 74271",096 269 46 62,omelian86@example.net
Давимука,Пантелеймон,Владиславович,чоловік,1953-12-20,Бібліограф,хутір Рава-Руська,"сквер Лермонтовський 2-й, буд. 96, Залізне, 92728",+380 88 523 39 83,chuikoorysia@example.net
Фоменко,Валентин,Олесьович,чоловік,1942-10-16,Намотувальник,хутір Носівка,"узвіз Наявний 7-й, буд. 08 кв. 5, Ізмаїл, 27515",+380 (21) 376-74-54,alladzhus@example.com
Зінчук,Леон,Теодорович,чоловік,1973-08-31,Локсмайстер,хутір Канів,"провулок Дерибасівська, буд. 08 кв. 3, Боково-Хрустальне, 17588",096 729 42 54,vivcharenkovitalii@example.net
Вітер,Арсен,Сергійович,чоловік,1994-08-22,Фольклорист,селище Новоукраїнка,"узвіз Планетна, буд. 47 кв. 5, Скалат, 83209",069 06 93,oles19@example.org
Чабан,Святослав,Данилович,чоловік,2000-08-08,Випробувач,місто Хотин,"набережна Лазурний 2-й, буд. 28 кв. 42, Ворожба, 29219",044 142-61-03,hoholiaroslav@example.net
Оробець,Назар,Стефанович,чоловік,1998-02-26,Кінорежисер,село Сіверськ,"сквер Соціальна, буд. 1 кв. 190, Теребовля, 67905",001 566 64 78,khaidai@example.com
Даценко,Герман,Омелянович,чоловік,1980-03-07,Математик,місто Броди,"площа Кришталева, буд. 27 кв. 28, Дружківка, 13513",+380 95 302-21-16,odarka37@example.org
Євдокименко,Стефан,Ігорович,чоловік,1967-09-14,Слідчий,селище Жовква,"провулок Брестська, буд. 5 кв. 729, Тячів, 90229",+380 49 832-46-49,omelian77@example.com
Яковенко,Левко,Ростиславович,чоловік,2007-03-16,Різноробочий,хутір Жовква,"вулиця Тінистий, буд. 56, Красноград, 35697",033 39 67,ubandera@example.net
Михайлюк,Леон,Стефанович,чоловік,1974-05-03,Перекладач,хутір Охтирка,"сквер Світанку, буд. 6 кв. 01, Бережани, 60267",691 17 43,zoberemko@example.com
Палій,Ілля,Богуславович,чоловік,1975-10-24,Співак,селище Миколаїв,"сквер Рульовий, буд. 372, Нетішин, 66196",284-30-02,nazarbairak@example.net
Джус,Леонід,Олегович,чоловік,1967-05-26,Астронавт,село Здолбунів,"провулок Чорноморський 4-й, буд. 6 кв. 136, Умань, 21927",+380 04 906 58 76,myroslavkomar@example.net
Дубина,Тимофій,Олесьович,чоловік,1950-07-31,Підприємець,селище Ворожба,"набережна Соляний 5-й, буд. 2, Сватове, 17112",401-46-72,qhohol-ianovskyi@example.net
Вакарчук,Пантелеймон,Опанасович,чоловік,1996-12-29,Пілот,село Ходорів,"парк Головна, буд. 66, Шостка, 24294",753 40 61,nsych@example.com
Артеменко,Стефан,Ігнатович,чоловік,1992-08-24,Дантист,місто Нікополь,"провулок Кавунова, буд. 23, Кремінна, 51487",083-29-00,cbabiuk@example.org
Забашта,Максим,Болеславович,чоловік,1945-09-10,Електрик,хутір Новодністровськ,"вулиця Проточний, буд. 00, Мена , 03652",+380 (98) 544-09-56,rsvystun@example.net
Гречко,Аврелій,Євгенійович,чоловік,1948-07-03,Намотувальник,село Ізмаїл,"проспект Кипарисний 2-й, буд. 69, Полонне, 70387",005 629-27-44,perepelytsiastefan@example.net
Андрійчук,Лесь,Несторович,чоловік,1955-04-03,Пілот,місто Чигирин,"проспект Китобійний 1-й, буд. 8, Добропілля, 98267",+380 92 273-53-62,leontii39@example.org
Устенко,Арсен,Андрійович,чоловік,2002-01-18,Громадський діяч,хутір Мукачево,"узвіз Амурський 3-й, буд. 8, Славута, 79295",+380 89 841-40-02,devdiukmykyta@example.org
Вахній,Зиновій,Венедиктович,чоловік,1957-03-11,Сантехнік,хутір Берегове,"шосе Миколи Боровського, буд. 9 кв. 43, Сарни, 83187",016 287 71 15,serhii34@example.net
Закусило,Валентин,Зорянович,чоловік,1963-03-29,Нотаріус,хутір Обухів,"шосе Преображенська, буд. 9 кв. 386, Дубно, 52905",503-00-30,iryna47@example.net
Алексеєнко,Григорій,Орхипович,чоловік,1976-06-28,Інженер,місто Олевськ,"площа Металістів, буд. 32, Красноград, 56972",085 113 05 73,valentyna05@example.org
Засядько,Зорян,Мирославович,чоловік,1988-12-26,Електрослюсар,місто Вільногірськ,"проспект Восьмого березня 4-й, буд. 387 кв. 8, Дунаївці, 61263",384-27-46,oresttkach@example.net
Павлик,Микита,Григорійович,чоловік,1954-03-12,Астронавт,місто Угнів,"провулок Жуковського, буд. 765, Курахове, 57084",015 629-35-44,bohdannashtepa@example.net
Онуфрієнко,Максим,Ааронович,чоловік,1993-01-12,Каскадер,селище Новомосковськ,"шосе Пішонівська, буд. 654 кв. 5, Кам'янка-Бузька, 82307",+380 59 249-42-79,chaikasviatoslav@example.net
Міщенко,Лукʼян,Прохорович,чоловік,1975-10-17,Живописець,місто Галич,"парк Верещагіна, буд. 18, Старокостянтинів, 03203",176-36-00,dashenkonestor@example.com
